Building,Early,Late
Alpha Theta Kappa,0,1
19/Vine Parking Garage,0,1
Abel Hall,1,13
Alpha Chi Omega,0,9
Alpha Omega ,0,1
Andersen Hall,0,1
Burnett Hall,0,1
Chi Omega,0,1
Cook Pavilion,0,1
Dan L. Love Memorial Library,0,2
Eastside Suites,0,2
H.S.S. Food Service Bldg.,0,1
Harper Hall,0,6
Henzlik Hall,0,1
Kappa Delta ,0,1
Love Library North,0,1
Mabel Lee Hall,0,1
Memorial Stadium,0,35
Nebraska Hall ,0,2
Nebraska Union,0,3
Phi Delta Theta ,0,1
Phi Gamma Delta,0,1
Pound Hall,0,2
Robert E. Knoll Residence Center,1,5
Sandoz Hall ,0,2
Schramm Hall,1,4
Sigma Phi Epsilon,0,1
Stadium Drive Parking Garage,0,2
The Courtyards,0,1
The Village,0,4
Theta Xi ,0,1
University Suites,0,3
UNL Police,0,2
